,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_AdaBoost
4,0,2,0,1,4,1,2,2,2,4,2,2,1,0
10,0,4,0,1,1,1,3,3,5,4,3,4,1,0
31,0,2,0,2,2,1,2,2,5,2,2,2,1,0
38,0,4,1,4,3,0,5,4,4,2,4,2,0,1
41,0,4,1,4,1,1,5,3,2,2,4,2,1,0
52,0,4,0,3,3,1,4,4,4,3,4,4,1,0
71,0,3,0,4,3,0,3,3,3,2,3,3,0,1
80,0,2,0,1,4,0,3,3,5,4,3,4,1,0
102,1,4,0,4,4,1,4,4,5,5,2,2,1,0
110,0,4,0,4,4,1,3,2,4,4,2,5,0,1
128,0,2,0,3,1,0,4,4,1,5,4,4,1,0
133,0,4,1,4,3,0,4,5,2,2,3,5,0,1
144,0,2,0,3,5,0,3,3,3,3,2,4,1,0
149,1,4,0,4,2,1,4,4,1,1,1,5,1,0
153,0,4,1,4,2,1,2,2,2,2,1,5,1,0
155,0,1,0,3,2,0,4,4,4,1,4,4,1,0
161,1,4,0,3,2,1,3,1,3,2,3,4,1,0
180,0,3,0,4,4,0,3,3,4,3,3,3,0,1
181,1,4,0,4,3,1,5,3,1,1,2,1,1,0
182,0,3,0,4,3,0,3,3,4,1,3,3,0,1
196,0,4,1,4,4,1,5,4,4,4,3,5,1,0
204,0,4,0,3,3,2,4,4,2,5,4,4,1,0
214,0,4,0,4,3,0,4,4,4,1,4,4,0,1
215,0,4,0,4,4,0,4,3,4,4,1,2,0,1
217,0,4,0,3,5,2,4,4,4,2,4,4,1,0
227,0,4,0,1,5,2,4,4,3,2,4,4,1,0
230,0,3,0,4,3,0,3,3,4,3,3,3,0,1
231,1,4,0,4,4,1,4,4,1,1,5,4,1,0
247,1,4,0,0,5,1,5,4,2,2,3,4,1,0
272,0,4,1,4,5,0,5,4,4,4,3,2,0,1
276,0,4,1,4,1,2,1,1,3,3,4,4,0,1
278,0,2,0,2,3,1,3,2,2,2,3,5,1,0
283,0,4,0,4,4,1,3,4,4,4,2,1,1,0
291,0,3,0,4,2,0,3,3,4,4,3,3,0,1
298,0,4,0,4,4,1,3,4,4,4,3,4,0,1
307,1,4,0,4,3,1,4,4,5,5,2,5,1,0
340,0,4,0,4,2,1,3,2,4,4,3,3,1,0
365,0,4,1,4,3,0,5,5,5,5,4,3,0,1
374,1,4,0,3,3,1,3,3,1,1,4,1,1,0
380,0,3,0,2,4,0,1,3,2,2,1,1,1,0
385,0,4,0,2,2,1,4,4,1,2,4,4,1,0
398,0,4,0,4,3,1,4,4,4,4,1,2,1,0
403,0,1,0,4,3,0,4,4,3,2,4,0,0,1
416,0,3,1,5,4,1,4,4,4,4,5,4,0,1
426,1,4,0,4,4,1,4,5,4,3,3,4,1,0
441,0,1,0,4,3,0,2,1,3,4,2,2,0,1
447,0,3,0,3,4,2,3,3,3,3,5,1,1,0
449,0,1,0,3,4,0,4,4,4,4,4,4,1,0
455,0,2,0,4,3,0,2,2,3,4,2,2,0,1
460,0,4,1,4,3,1,1,5,5,5,1,2,1,0
473,0,3,0,3,4,0,4,5,3,3,4,3,1,0
493,0,4,1,3,3,0,1,5,1,1,2,5,1,0
512,0,3,0,4,2,1,3,1,3,3,1,2,1,0
534,0,4,0,4,1,1,3,3,3,4,3,4,0,1
535,0,4,0,4,1,2,4,4,4,4,2,2,1,0
537,0,3,0,4,4,0,3,3,3,2,3,3,0,1
540,1,4,0,2,1,1,3,3,2,2,1,5,1,0
572,0,3,0,2,2,0,4,4,1,1,4,4,1,0
576,0,1,0,4,1,0,1,1,4,2,1,1,0,1
592,0,3,0,4,2,0,3,3,4,1,3,3,0,1
594,0,4,0,4,4,0,4,4,3,4,4,4,0,1
598,1,4,0,4,3,2,3,3,4,4,1,3,1,0
602,0,4,1,4,4,1,5,2,4,5,3,5,1,0
618,1,0,0,2,4,1,3,3,1,3,3,0,1,0
627,0,3,0,4,2,0,3,3,3,1,3,3,0,1
640,0,4,1,4,3,0,5,5,5,5,4,2,0,1
657,0,4,0,1,2,2,4,4,4,4,4,4,1,0
664,0,3,0,3,3,1,1,4,3,3,1,4,1,0
666,1,4,0,4,5,1,5,5,5,5,4,5,0,1
668,0,4,0,4,4,2,4,3,4,4,4,5,0,1
674,0,1,0,4,4,0,1,1,4,1,1,1,0,1
684,1,4,0,4,5,1,5,5,5,3,4,4,0,1
725,0,4,0,4,2,2,4,3,4,4,4,3,0,1
742,0,4,0,3,3,1,4,4,3,3,4,4,1,0
761,1,5,0,3,2,1,2,2,4,3,2,5,1,0
767,0,4,0,4,3,1,1,4,4,4,2,2,1,0
771,0,1,0,1,2,0,3,3,1,5,3,5,1,0
778,0,3,0,4,1,0,3,3,3,3,3,3,0,1
789,0,4,0,3,3,0,4,4,3,1,4,4,0,1
810,0,2,0,4,1,0,2,2,4,4,2,2,0,1
811,0,1,0,2,4,0,5,5,2,2,4,2,1,0
825,0,4,0,1,3,1,4,4,2,4,4,4,1,0
833,1,4,0,4,5,1,1,5,2,2,5,4,0,1
836,0,4,1,4,4,0,5,5,2,2,4,5,0,1
846,0,2,0,4,2,0,2,2,4,1,2,2,0,1
859,0,4,0,4,4,0,4,4,4,4,4,4,0,1
868,0,1,0,3,2,0,4,4,3,4,4,4,1,0
869,0,3,0,4,1,0,3,3,4,4,3,3,0,1
871,0,4,0,4,3,1,3,3,4,4,1,3,1,0
891,0,4,0,3,2,0,4,4,4,1,4,4,0,1
901,0,4,0,3,3,0,4,4,4,4,4,4,0,1
906,0,3,0,4,2,1,4,4,3,3,4,4,0,1
911,0,2,0,4,3,0,2,2,4,2,2,3,0,1
915,1,4,0,4,3,1,4,4,5,5,5,3,1,0
919,0,2,0,4,3,0,2,2,3,4,2,2,0,1
923,0,4,0,4,1,1,2,1,3,4,3,1,1,0
926,0,2,0,2,3,1,4,5,2,2,4,4,1,0
933,0,3,0,4,3,0,3,3,4,2,3,2,0,1
937,1,4,0,4,4,1,5,5,3,2,5,4,0,1
938,0,4,1,4,2,0,3,3,5,5,3,5,0,1
941,0,3,0,3,4,0,4,4,4,5,4,4,1,0
945,1,2,0,5,3,0,5,5,5,4,5,2,0,1
951,0,4,0,4,1,0,2,4,3,4,2,2,0,1
991,0,4,0,2,3,1,4,4,4,3,4,4,1,0
1031,1,4,0,4,3,1,5,4,5,5,2,1,1,0
1041,0,4,1,4,5,1,4,4,5,5,3,2,1,0
1043,0,4,0,4,4,0,4,4,3,1,4,4,0,1
1052,0,2,0,2,4,1,5,5,2,2,2,2,1,0
1055,0,4,1,4,3,1,4,3,1,1,4,4,0,1
1067,1,4,0,4,4,2,4,4,2,2,3,4,1,0
1083,0,4,0,4,3,2,4,1,4,4,2,2,1,0
1095,0,2,0,4,1,0,2,2,3,4,2,2,0,1
1099,1,4,0,5,4,1,4,4,3,3,1,1,1,0
1101,0,3,0,4,2,0,3,3,4,4,3,3,0,1
1144,0,5,0,4,2,0,5,5,3,1,5,4,0,1
1150,0,3,0,4,4,0,3,3,4,2,3,3,0,1
1157,0,4,1,4,5,1,4,5,4,4,3,4,0,1
1158,1,4,0,4,5,1,4,4,2,2,3,4,1,0
1163,0,3,0,3,4,0,4,4,4,4,4,4,1,0
1176,1,4,0,4,1,1,2,4,2,5,5,4,1,0
1188,0,4,0,4,1,1,1,3,4,4,1,3,1,0
1198,0,4,1,4,3,0,5,5,2,2,4,3,0,1
1221,0,1,0,4,2,0,1,1,4,1,1,1,0,1
1229,0,4,0,4,2,1,4,4,4,4,3,2,1,0
1243,0,4,1,4,1,1,4,5,5,5,5,5,0,1
1245,0,3,0,3,3,0,4,4,3,1,4,4,1,0
1267,0,4,0,4,4,1,4,3,4,4,4,3,0,1
1275,0,2,0,4,3,0,2,2,3,4,2,2,0,1
1276,0,4,0,4,2,2,4,2,3,4,1,1,1,0
1278,1,5,0,3,2,1,1,1,4,4,1,5,1,0
1291,0,4,0,4,4,0,4,4,4,3,4,4,0,1
1330,0,1,0,3,4,0,4,4,4,3,4,3,1,0
1358,0,4,0,3,3,0,4,4,2,2,4,4,0,1
1367,0,2,0,2,3,0,1,5,2,2,4,1,1,0
1428,0,4,0,3,3,2,4,4,5,1,4,4,1,0
1445,1,4,0,4,4,1,5,5,5,5,5,5,0,1
1446,0,4,0,4,1,0,4,3,4,4,3,2,0,1
1470,0,3,1,3,3,0,4,4,4,4,5,3,1,0
1475,0,4,1,4,3,1,5,4,5,5,5,2,1,0
1479,1,4,0,4,4,1,4,4,1,1,5,2,1,0
1492,0,4,0,3,3,0,4,4,4,2,4,4,0,1
1501,0,1,0,3,3,0,2,2,4,4,2,2,1,0
1519,1,0,0,0,3,1,5,1,3,3,3,3,1,0
1551,0,4,0,4,3,1,3,2,4,4,4,1,0,1
1556,0,4,0,3,2,0,4,4,3,1,4,4,0,1
1558,0,5,0,3,3,0,5,5,2,4,5,4,0,1
1573,0,4,1,4,5,0,5,4,4,4,3,2,0,1
1575,0,4,1,4,3,0,4,5,5,5,3,3,0,1
1580,0,2,0,2,3,1,3,2,2,2,1,4,1,0
1605,1,5,0,4,5,1,3,3,4,5,3,0,1,0
1609,0,3,0,4,4,0,3,3,4,1,3,3,0,1
1613,0,4,0,4,1,0,4,4,4,2,4,3,0,1
1617,0,3,0,3,1,0,4,4,4,2,4,4,1,0
1632,0,1,0,4,4,0,1,1,4,1,1,1,0,1
1636,0,4,0,4,3,1,4,3,4,4,1,3,1,0
1657,1,2,0,5,5,1,5,4,4,4,5,5,0,1
1679,0,2,0,4,3,0,2,2,3,1,2,2,0,1
1683,0,4,0,5,2,0,4,4,1,1,4,4,0,1
1686,0,3,0,4,4,0,3,3,3,1,3,3,0,1
1690,0,4,1,4,4,1,3,2,4,4,5,5,0,1
1691,1,4,0,5,4,1,5,4,5,5,4,3,1,0
1713,0,4,0,4,4,0,1,2,4,4,2,4,0,1
1726,1,4,0,5,4,0,5,3,5,4,5,4,0,1
1744,0,1,0,3,5,0,3,4,3,3,5,1,1,0
1780,0,4,0,3,1,0,4,4,3,1,4,4,0,1
1784,0,4,0,4,1,0,4,4,4,4,4,4,0,1
1792,1,2,0,5,3,1,5,5,3,3,4,4,0,1
1800,0,4,1,4,4,1,4,4,1,3,5,3,1,0
1804,0,4,1,4,5,0,5,4,5,5,4,3,0,1
1805,0,3,0,3,2,1,3,3,3,3,5,4,1,0
1809,0,4,1,4,4,0,4,4,4,4,4,2,0,1
1813,0,4,0,4,2,0,1,1,4,4,3,5,0,1
1819,1,4,0,4,5,1,5,5,4,4,4,5,0,1
1821,0,1,0,4,4,0,2,1,4,3,2,2,0,1
