,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_K-Nearest Neighbor
3,0,0,0,4,3,0,1,1,4,4,1,1,1,0
4,0,2,0,1,4,1,2,2,2,4,2,2,1,0
17,1,5,0,5,4,2,5,5,4,4,3,5,1,0
23,0,4,0,4,1,0,5,3,4,4,1,5,1,0
31,0,2,0,2,2,1,2,2,5,2,2,2,1,0
41,0,4,1,4,1,1,5,3,2,2,4,2,1,0
51,0,4,1,4,3,0,5,5,2,2,5,3,1,0
97,0,3,0,4,3,0,4,4,3,3,4,4,1,0
102,1,4,0,4,4,1,4,4,5,5,2,2,1,0
110,0,4,0,4,4,1,3,2,4,4,2,5,0,1
120,0,0,0,0,5,2,5,4,1,1,3,1,1,0
133,0,4,1,4,3,0,4,5,2,2,3,5,0,1
149,1,4,0,4,2,1,4,4,1,1,1,5,1,0
153,0,4,1,4,2,1,2,2,2,2,1,5,1,0
161,1,4,0,3,2,1,3,1,3,2,3,4,1,0
188,0,0,0,0,4,2,5,3,2,2,4,1,1,0
203,1,0,0,5,4,1,4,4,5,4,4,0,1,0
209,0,4,1,4,3,0,5,4,5,5,5,3,1,0
231,1,4,0,4,4,1,4,4,1,1,5,4,1,0
247,1,4,0,0,5,1,5,4,2,2,3,4,1,0
254,0,3,0,4,4,0,3,3,4,3,3,2,1,0
278,0,2,0,2,3,1,3,2,2,2,3,5,1,0
283,0,4,0,4,4,1,3,4,4,4,2,1,1,0
289,1,5,0,5,4,1,4,4,5,5,4,4,1,0
298,0,4,0,4,4,1,3,4,4,4,3,4,0,1
307,1,4,0,4,3,1,4,4,5,5,2,5,1,0
310,0,3,0,4,1,0,3,2,3,4,2,3,1,0
328,0,4,0,5,4,1,3,3,5,3,3,4,1,0
365,0,4,1,4,3,0,5,5,5,5,4,3,0,1
374,1,4,0,3,3,1,3,3,1,1,4,1,1,0
380,0,3,0,2,4,0,1,3,2,2,1,1,1,0
398,0,4,0,4,3,1,4,4,4,4,1,2,1,0
406,1,4,0,4,3,1,5,4,5,5,4,5,0,1
426,1,4,0,4,4,1,4,5,4,3,3,4,1,0
447,0,3,0,3,4,2,3,3,3,3,5,1,1,0
474,1,0,0,0,4,1,4,4,4,4,1,4,1,0
493,0,4,1,3,3,0,1,5,1,1,2,5,1,0
512,0,3,0,4,2,1,3,1,3,3,1,2,1,0
526,0,4,0,1,2,0,4,4,2,2,4,4,1,0
535,0,4,0,4,1,2,4,4,4,4,2,2,1,0
540,1,4,0,2,1,1,3,3,2,2,1,5,1,0
560,1,5,0,5,5,1,5,5,2,2,4,2,1,0
598,1,4,0,4,3,2,3,3,4,4,1,3,1,0
611,1,4,0,4,3,1,4,3,3,3,3,3,0,1
618,1,0,0,2,4,1,3,3,1,3,3,0,1,0
640,0,4,1,4,3,0,5,5,5,5,4,2,0,1
664,0,3,0,3,3,1,1,4,3,3,1,4,1,0
698,1,0,0,4,3,1,1,1,3,1,1,0,1,0
713,1,0,0,0,2,1,4,4,2,2,4,2,1,0
737,0,5,1,5,2,2,2,2,1,1,1,3,1,0
742,0,4,0,3,3,1,4,4,3,3,4,4,1,0
746,0,5,1,5,2,1,4,2,3,4,4,5,1,0
761,1,5,0,3,2,1,2,2,4,3,2,5,1,0
817,0,0,1,0,1,1,3,5,4,4,2,3,1,0
820,0,0,1,1,5,0,4,4,4,4,3,2,1,0
827,0,4,0,4,3,1,3,3,4,4,1,5,1,0
836,0,4,1,4,4,0,5,5,2,2,4,5,0,1
854,1,4,0,5,3,1,5,2,4,5,5,4,1,0
859,0,4,0,4,4,0,4,4,4,4,4,4,0,1
871,0,4,0,4,3,1,3,3,4,4,1,3,1,0
875,0,4,1,4,3,0,5,5,2,2,5,3,1,0
877,0,4,0,5,2,1,4,3,4,4,3,5,1,0
915,1,4,0,4,3,1,4,4,5,5,5,3,1,0
926,0,2,0,2,3,1,4,5,2,2,4,4,1,0
