,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Naive Bayes (GaussianNB)
3,0,0,0,4,3,0,1,1,4,4,1,1,1,0
4,0,2,0,1,4,1,2,2,2,4,2,2,1,0
5,0,3,0,5,1,1,2,1,3,5,4,3,1,0
10,0,4,0,1,1,1,3,3,5,4,3,4,1,0
17,1,5,0,5,4,2,5,5,4,4,3,5,1,0
27,0,4,0,4,1,1,5,1,4,4,1,4,1,0
29,0,4,0,4,3,1,4,3,4,4,3,2,0,1
31,0,2,0,2,2,1,2,2,5,2,2,2,1,0
38,0,4,1,4,3,0,5,4,4,2,4,2,0,1
40,0,3,1,3,5,0,5,5,4,4,3,2,0,1
41,0,4,1,4,1,1,5,3,2,2,4,2,1,0
42,0,3,0,3,3,0,2,3,3,3,5,4,0,1
71,0,3,0,4,3,0,3,3,3,2,3,3,0,1
76,0,2,1,3,4,1,5,5,5,5,4,5,0,1
91,0,3,1,3,5,1,4,3,5,5,5,5,0,1
102,1,4,0,4,4,1,4,4,5,5,2,2,1,0
110,0,4,0,4,4,1,3,2,4,4,2,5,0,1
120,0,0,0,0,5,2,5,4,1,1,3,1,1,0
128,0,2,0,3,1,0,4,4,1,5,4,4,1,0
133,0,4,1,4,3,0,4,5,2,2,3,5,0,1
149,1,4,0,4,2,1,4,4,1,1,1,5,1,0
151,1,5,0,5,1,1,2,5,3,3,4,4,1,0
152,0,4,0,4,5,1,1,4,3,4,3,1,1,0
153,0,4,1,4,2,1,2,2,2,2,1,5,1,0
161,1,4,0,3,2,1,3,1,3,2,3,4,1,0
180,0,3,0,4,4,0,3,3,4,3,3,3,0,1
181,1,4,0,4,3,1,5,3,1,1,2,1,1,0
182,0,3,0,4,3,0,3,3,4,1,3,3,0,1
184,0,5,0,2,1,0,3,2,2,2,5,1,1,0
188,0,0,0,0,4,2,5,3,2,2,4,1,1,0
199,0,0,1,0,5,0,5,4,2,2,4,4,1,0
203,1,0,0,5,4,1,4,4,5,4,4,0,1,0
204,0,4,0,3,3,2,4,4,2,5,4,4,1,0
212,1,5,0,5,4,1,3,3,4,4,1,1,1,0
213,1,5,0,5,4,1,4,4,3,3,4,2,1,0
214,0,4,0,4,3,0,4,4,4,1,4,4,0,1
215,0,4,0,4,4,0,4,3,4,4,1,2,0,1
217,0,4,0,3,5,2,4,4,4,2,4,4,1,0
227,0,4,0,1,5,2,4,4,3,2,4,4,1,0
230,0,3,0,4,3,0,3,3,4,3,3,3,0,1
231,1,4,0,4,4,1,4,4,1,1,5,4,1,0
237,0,3,0,3,3,0,3,4,3,3,4,3,0,1
247,1,4,0,0,5,1,5,4,2,2,3,4,1,0
250,0,0,1,0,4,0,4,4,1,1,5,4,1,0
272,0,4,1,4,5,0,5,4,4,4,3,2,0,1
278,0,2,0,2,3,1,3,2,2,2,3,5,1,0
284,0,3,1,3,4,0,5,4,4,4,4,3,0,1
291,0,3,0,4,2,0,3,3,4,4,3,3,0,1
298,0,4,0,4,4,1,3,4,4,4,3,4,0,1
303,1,0,0,0,3,2,4,4,3,4,4,4,1,0
307,1,4,0,4,3,1,4,4,5,5,2,5,1,0
310,0,3,0,4,1,0,3,2,3,4,2,3,1,0
337,0,2,0,2,2,0,5,4,2,2,5,4,1,0
365,0,4,1,4,3,0,5,5,5,5,4,3,0,1
374,1,4,0,3,3,1,3,3,1,1,4,1,1,0
380,0,3,0,2,4,0,1,3,2,2,1,1,1,0
384,0,4,1,4,4,0,5,5,1,1,5,2,1,0
385,0,4,0,2,2,1,4,4,1,2,4,4,1,0
401,0,3,0,3,4,0,3,3,3,3,4,5,0,1
416,0,3,1,5,4,1,4,4,4,4,5,4,0,1
426,1,4,0,4,4,1,4,5,4,3,3,4,1,0
437,0,1,0,4,1,0,2,2,4,4,1,5,1,0
442,0,0,0,0,5,2,4,4,2,3,3,3,1,0
447,0,3,0,3,4,2,3,3,3,3,5,1,1,0
