,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Neural Network (MLP)
38,0,4,1,4,3,0,5,4,4,2,4,2,0,1
41,0,4,1,4,1,1,5,3,2,2,4,2,1,0
52,0,4,0,3,3,1,4,4,4,3,4,4,1,0
102,1,4,0,4,4,1,4,4,5,5,2,2,1,0
110,0,4,0,4,4,1,3,2,4,4,2,5,0,1
133,0,4,1,4,3,0,4,5,2,2,3,5,0,1
145,0,3,0,3,1,0,2,4,1,1,4,3,0,1
149,1,4,0,4,2,1,4,4,1,1,1,5,1,0
153,0,4,1,4,2,1,2,2,2,2,1,5,1,0
161,1,4,0,3,2,1,3,1,3,2,3,4,1,0
181,1,4,0,4,3,1,5,3,1,1,2,1,1,0
231,1,4,0,4,4,1,4,4,1,1,5,4,1,0
247,1,4,0,0,5,1,5,4,2,2,3,4,1,0
254,0,3,0,4,4,0,3,3,4,3,3,2,1,0
272,0,4,1,4,5,0,5,4,4,4,3,2,0,1
278,0,2,0,2,3,1,3,2,2,2,3,5,1,0
283,0,4,0,4,4,1,3,4,4,4,2,1,1,0
285,0,2,1,2,4,1,5,1,1,5,1,5,0,1
307,1,4,0,4,3,1,4,4,5,5,2,5,1,0
310,0,3,0,4,1,0,3,2,3,4,2,3,1,0
365,0,4,1,4,3,0,5,5,5,5,4,3,0,1
374,1,4,0,3,3,1,3,3,1,1,4,1,1,0
380,0,3,0,2,4,0,1,3,2,2,1,1,1,0
398,0,4,0,4,3,1,4,4,4,4,1,2,1,0
426,1,4,0,4,4,1,4,5,4,3,3,4,1,0
428,0,2,0,2,4,0,5,4,2,2,2,2,0,1
447,0,3,0,3,4,2,3,3,3,3,5,1,1,0
526,0,4,0,1,2,0,4,4,2,2,4,4,1,0
535,0,4,0,4,1,2,4,4,4,4,2,2,1,0
540,1,4,0,2,1,1,3,3,2,2,1,5,1,0
598,1,4,0,4,3,2,3,3,4,4,1,3,1,0
602,0,4,1,4,4,1,5,2,4,5,3,5,1,0
640,0,4,1,4,3,0,5,5,5,5,4,2,0,1
664,0,3,0,3,3,1,1,4,3,3,1,4,1,0
678,0,4,0,2,1,0,4,4,1,3,4,4,1,0
704,0,4,0,4,1,0,4,4,4,5,4,4,1,0
742,0,4,0,3,3,1,4,4,3,3,4,4,1,0
804,0,3,0,3,5,0,1,1,3,3,1,1,0,1
827,0,4,0,4,3,1,3,3,4,4,1,5,1,0
836,0,4,1,4,4,0,5,5,2,2,4,5,0,1
854,1,4,0,5,3,1,5,2,4,5,5,4,1,0
859,0,4,0,4,4,0,4,4,4,4,4,4,0,1
871,0,4,0,4,3,1,3,3,4,4,1,3,1,0
915,1,4,0,4,3,1,4,4,5,5,5,3,1,0
923,0,4,0,4,1,1,2,1,3,4,3,1,1,0
1031,1,4,0,4,3,1,5,4,5,5,2,1,1,0
1067,1,4,0,4,4,2,4,4,2,2,3,4,1,0
1099,1,4,0,5,4,1,4,4,3,3,1,1,1,0
1129,1,4,0,3,4,0,2,2,3,3,2,4,0,1
1155,0,4,0,4,3,0,4,4,3,2,4,4,1,0
1157,0,4,1,4,5,1,4,5,4,4,3,4,0,1
1158,1,4,0,4,5,1,4,4,2,2,3,4,1,0
1176,1,4,0,4,1,1,2,4,2,5,5,4,1,0
1198,0,4,1,4,3,0,5,5,2,2,4,3,0,1
1218,0,4,0,4,3,0,2,4,4,4,3,2,1,0
1229,0,4,0,4,2,1,4,4,4,4,3,2,1,0
1274,1,4,0,4,5,1,5,5,2,2,4,4,1,0
